"Model","Version","Num","URL"
"Latitude_3390","1.34.0","12339866","https://dl.dell.com/FOLDER12339866M/1/Latitude_3390_1.34.0.exe"
"Latitude_5X90","1.38.0","12312074","https://dl.dell.com/FOLDER12312074M/1/Latitude_5X90_1.38.0.exe"
"Latitude_5320","1.42.0","12576636","https://dl.dell.com/FOLDER12576636M/1/Latitude_5320_1.42.0.exe"
"Latitude_5330","1.27.0","12474214","https://dl.dell.com/FOLDER12474214M/1/Latitude_5330_1.27.0.exe"
"Latitude_5340","1.19.2","12519884","https://dl.dell.com/FOLDER12519884M/1/Latitude_5340_1.19.2.exe"
"Latitude_5350","1.12.0","12693515","https://dl.dell.com/FOLDER12693515M/1/Latitude_5350_1.12.0.exe"
"Latitude_7x20","1.40.0","12465625","https://dl.dell.com/FOLDER12465625M/1/Latitude_7X20_1.40.0.exe"
"Latitude_7x80","1.40.0","12311729","https://dl.dell.com/FOLDER12311729M/1/Latitude_7x80_1.40.0.exe"
"Latitude_7x90","1.41.0","12312642","https://dl.dell.com/FOLDER12312642M/1/Latitude_7X90_1.41.0.exe"
"Latitude_9430","1.29.0","12502557","https://dl.dell.com/FOLDER12502557M/1/Latitude_9430_1.29.0.exe"
"Precision_5480","1.17.1","12511897","https://dl.dell.com/FOLDER12511897M/1/Precision_5480_1.17.1.exe"
"Precision_5490","1.10.1","12518761","https://dl.dell.com/FOLDER12518761M/1/Precision_5490_1.10.1.exe"
"XPS9510_Precision5560","1.35.0","12474358","https://dl.dell.com/FOLDER12474358M/1/XPS9510_Precision5560_1.35.0.exe"
"XPS9520_Precision5570","1.29.0","12466714","https://dl.dell.com/FOLDER12466714M/1/XPS9520_Precision5570_1.29.0_QSL0.exe"
"Precision_7x20","1.39.0","12307226","https://dl.dell.com/FOLDER12307226M/1/Precision_7x20_1.39.0.exe"
"Precision_7x30","1.39.0","12453232","https://dl.dell.com/FOLDER12453232M/1/Precision_7x30_1.39.0.exe"
"Precision_7x40","1.38.0","12467095","https://dl.dell.com/FOLDER12467095M/1/Precision_7X40_1.38.0.exe"
"Precision_7x50","1.36.0","12364067","https://dl.dell.com/FOLDER12364067M/2/Precision_7X50_1.36.0.exe"
"Precision_7X60","1.37.1","12483480","https://dl.dell.com/FOLDER12483480M/1/Precision_7X60_1.37.1.exe"
