"Model","Version","Product","URL"
"Latitude_3390","1.35.1","Latitude-13-3390-2-in-1-Laptop","https://dl.dell.com/FOLDER12726342M/1/Latitude_3390_1.35.1.exe"
"Latitude_5X90","1.40.0","Latitude-14-5490-Laptop","https://dl.dell.com/FOLDER12818365M/1/Latitude_5X90_1.40.0.exe"
"Latitude_5320","1.43.0","Latitude-13-5320-2-in-1-Laptop","https://dl.dell.com/FOLDER12813563M/1/Latitude_5320_1.43.0.exe"
"Latitude_5330","1.29.1","Latitude-13-5330-Laptop","https://dl.dell.com/FOLDER12985299M/1/Latitude_5330_1.29.1.exe"
"Latitude_5340","1.21.0","Latitude-13-5340-2-in-1-Laptop","https://dl.dell.com/FOLDER12830279M/1/Latitude_5340_1.21.0.exe"
"Latitude_5350","1.13.1","Latitude-13-5350-2-in-1-Laptop","https://dl.dell.com/FOLDER12985121M/1/Latitude_5350_1.13.1.exe"
"Dell_Latitude_7320_Detachable","1.39.0","Latitude-13-7320-Detachable-Laptop","https://dl.dell.com/FOLDER12800484M/1/Dell_Latitude_7320_Detachable_1.39.0_64.exe"
"Latitude_7x80","1.41.3","Latitude-14-7480-Laptop","https://dl.dell.com/FOLDER12689965M/1/Latitude_7x80_1.41.3.exe"
"Latitude_7X90","1.43.0","Latitude-14-7490-Laptop","https://dl.dell.com/FOLDER12821957M/1/Latitude_7X90_1.43.0.exe"
"Latitude_9430","1.31.0","Latitude-14-9430-Laptop","https://dl.dell.com/FOLDER12796917M/1/Latitude_9430_1.31.0.exe"
"Precision_5480","1.19.0","Precision-14-5480-Laptop","https://dl.dell.com/FOLDER12805378M/1/Precision_5480_1.19.0.exe"
"Precision_5490","1.13.0","Precision-14-5490-Laptop","https://dl.dell.com/FOLDER12900911M/1/Precision_5490_1.13.0.exe"
"XPS9510_Precision5560","1.37.0","Precision-15-5560-Laptop","https://dl.dell.com/FOLDER12800454M/1/XPS9510_Precision5560_1.37.0.exe"
"XPS9520_Precision5570","1.31.0","Precision-15-5570-Laptop","https://dl.dell.com/FOLDER12813859M/1/XPS9520_Precision5570_1.31.0_QSL0.exe"
"Precision_7x20","1.40.0","Precision-15-7520-Laptop","https://dl.dell.com/FOLDER12664850M/1/Precision_7x20_1.40.0.exe"
"Precision_7x30","1.41.0","Precision-15-7530-Laptop","https://dl.dell.com/FOLDER12814043M/1/Precision_7x30_1.41.0.exe"
"Precision_7X40","1.40.0","Precision-15-7540-Laptop","https://dl.dell.com/FOLDER12832479M/1/Precision_7X40_1.40.0.exe"
"Precision_7X50","1.38.0","Precision-15-7550-Laptop","https://dl.dell.com/FOLDER12834090M/1/Precision_7X50_1.38.0.exe"
"Precision_7X60","1.39.0","Precision-15-7560-Laptop","https://dl.dell.com/FOLDER12804952M/1/Precision_7X60_1.39.0.exe"
